X,Y,OBJECTID,GlobalID,CreationDate,Creator,EditDate,Editor,case_number,crime_category,crime_code,crime_description,crime_type,reported_block_address,city_of_incident,city,district,reported_date,reported_year,reported_month,reported_day,reported_hour,reported_dayofwk,latitude,longitude,agency,updated_date
,,571928,79fd40db-95bd-452f-bdc7-0aafc78c50bb,2020/03/08 05:00:34.085+00,RaleighGIS,2020/03/08 05:00:34.085+00,RaleighGIS,,MISCELLANEOUS,81A,Miscellaneous/All Other Non-Offenses,,,,RALEIGH,Southeast,2020/03/07 13:55:00+00,2020,3,7,8,Saturday,0,0,RPD,2020/03/07 16:38:36.373+00
,,571931,e058c744-803c-4968-83c8-ed4b015512a2,2020/03/08 05:00:34.085+00,RaleighGIS,2020/03/08 05:00:34.085+00,RaleighGIS,,MISCELLANEOUS,81C,Miscellaneous/Found Property,,,,RALEIGH,Downtown,2020/03/07 14:42:00+00,2020,3,7,9,Saturday,0,0,RPD,2020/03/07 22:04:07.990+00
-78.728412185,35.9093019260001,571988,a5661c5b-f76f-4146-808b-762d301d27eb,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013081,TRAFFIC,71A,Traffic/DWI (Driving While Impaired),,10100 BLOCK LEESVILLE RD,WAKE COUNTY,RALEIGH,Northwest,2020/03/08 05:55:00+00,2020,3,8,0,Sunday,35.9093019260001,-78.728412185,RPD,2020/03/09 03:29:41.200+00
-78.7400822119999,35.7902260440001,571989,eb8ebf1b-c98e-4b70-a049-7629cea1b933,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013084,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,600 BLOCK CORPORATE CENTER DR,RALEIGH,RALEIGH,Southwest,2020/03/08 05:57:00+00,2020,3,8,0,Sunday,35.7902260440001,-78.7400822119999,RPD,2020/03/08 08:30:48.583+00
-78.600802243,35.850924153,571990,d175e4aa-2e11-4905-8f7b-6bf561ffcd93,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013087,VANDALISM,80B,All Other/Damage to Property (minor),,4900 BLOCK ATLANTIC AVE,RALEIGH,RALEIGH,North,2020/03/08 05:35:00+00,2020,3,8,0,Sunday,35.8509241530001,-78.600802243,RPD,2020/03/08 09:20:10.820+00
-78.5733801229999,35.8387982020001,571991,750c1f08-f5c9-4768-827c-663f9898e745,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013088,ALL OTHER OFFENSES,80D,All Other/Trespassing,,4300 BLOCK ST JAMES CHURCH RD,RALEIGH,RALEIGH,Northeast,2020/03/08 05:51:00+00,2020,3,8,0,Sunday,35.8387982020001,-78.5733801229999,RPD,2020/03/08 20:59:35.300+00
-78.7091705289999,35.853115857,571992,e94f0ef0-9c9e-4497-8e70-6e4249525e6d,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013090,ASSAULT,25E,Assault/Simple,CRIMES AGAINST PERSONS,4100 BLOCK DEEP HOLLOW DR,RALEIGH,RALEIGH,Northwest,2020/03/08 05:53:00+00,2020,3,8,0,Sunday,35.853115857,-78.7091705289999,RPD,2020/03/08 10:24:28.240+00
-78.7091705289999,35.853115857,571993,c3bb034b-ef1d-47ce-9ab2-3f00b0adc142,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013090,KIDNAPPING,50A,Kidnapping/Abduction,CRIMES AGAINST PERSONS,4100 BLOCK DEEP HOLLOW DR,RALEIGH,RALEIGH,Northwest,2020/03/08 05:53:00+00,2020,3,8,0,Sunday,35.853115857,-78.7091705289999,RPD,2020/03/08 10:24:28.240+00
-78.717045969,35.866065484,571995,01840eff-07d3-4587-b431-a2d4f54199b7,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013092,TRAFFIC,71A,Traffic/DWI (Driving While Impaired),,GLENWOOD AVE  &  HILBURN DR,RALEIGH,RALEIGH,Northwest,2020/03/08 06:40:00+00,2020,3,8,1,Sunday,35.866065484,-78.717045969,RPD,2020/03/09 02:03:26.803+00
-78.6451398089999,35.779812346,571996,382ed33e-b6f0-4490-83fa-57c90b101123,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013096,ALL OTHER OFFENSES,80A,All Other/All Other Offenses,,400 BLOCK W MORGAN ST,RALEIGH,RALEIGH,Downtown,2020/03/08 06:40:00+00,2020,3,8,1,Sunday,35.779812346,-78.6451398089999,RPD,2020/03/08 22:41:46.280+00
-78.5497435779999,35.792005428,571997,77708f73-a87a-4984-94d3-47e92c7bf8e2,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013098,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,1000 BLOCK N ROGERS LN,RALEIGH,RALEIGH,Southeast,2020/03/08 07:23:00+00,2020,3,8,3,Sunday,35.792005428,-78.5497435779999,RPD,2020/03/09 03:09:32.889+00
-78.622123156,35.816013543,571999,22b0c2d7-2025-4739-a1a1-d12913c9b76d,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013102,VANDALISM,80B,All Other/Damage to Property (minor),,600 BLOCK CREEKSIDE DR,RALEIGH,RALEIGH,North,2020/03/08 08:21:00+00,2020,3,8,4,Sunday,35.8160135430001,-78.622123156,RPD,2020/03/08 23:29:17.100+00
-78.577674638,35.7975444420001,572000,ebf27ee0-bb9e-4ebb-a39a-c75d3217b549,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013103,ALL OTHER OFFENSES,80A,All Other/All Other Offenses,,3700 BLOCK NEW BERN AV,RALEIGH,RALEIGH,Northeast,2020/03/08 09:01:00+00,2020,3,8,5,Sunday,35.7975444420001,-78.577674638,RPD,2020/03/09 03:48:41+00
-78.615741535,35.735035651,572002,b9216271-e1c8-486c-9f8f-899301c5aa71,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013108,ASSAULT,25F,Assault/Intimidation-Communicating Threats,CRIMES AGAINST PERSONS,3400 BLOCK FATIMA CT,RALEIGH,RALEIGH,Southeast,2020/03/08 10:53:00+00,2020,3,8,6,Sunday,35.735035651,-78.615741535,RPD,2020/03/08 20:45:45.190+00
-78.613171747,35.7943548210001,572003,8c96c462-dd9e-422f-88dc-5fb390d5a8c0,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013112,BURGLARY/RESIDENTIAL,30B,Burglary/Residential,CRIMES AGAINST PROPERTY,1800 BLOCK CANTWELL CT,RALEIGH,RALEIGH,Southeast,2020/03/08 12:31:00+00,2020,3,8,8,Sunday,35.7943548210001,-78.613171747,RPD,2020/03/08 22:16:41.607+00
-78.602107371,35.816120573,572006,f52ae187-c04d-4252-bb99-799c653d6b28,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013127,LARCENY,35D,Larceny/Theft from Building,CRIMES AGAINST PROPERTY,2700 BLOCK CAPITAL BLVD,RALEIGH,RALEIGH,North,2020/03/08 15:46:00+00,2020,3,8,11,Sunday,35.816120573,-78.602107371,RPD,2020/03/08 17:23:38.990+00
-78.510337173,35.838358075,572008,3ef56ebc-9011-431e-ba9f-269d36cd02d4,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013131,ALL OTHER OFFENSES,80D,All Other/Trespassing,,7500 BLOCK OAKBERRY DR,RALEIGH,RALEIGH,Northeast,2020/03/08 15:47:00+00,2020,3,8,11,Sunday,35.838358075,-78.510337173,RPD,2020/03/08 20:52:27.583+00
-78.680117619,35.845353462,572009,47c29af1-865d-4ab8-9ab0-8d3a7f066df5,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013133,VANDALISM,80B,All Other/Damage to Property (minor),,4700 BLOCK CREEDMOOR RD,RALEIGH,RALEIGH,North,2020/03/08 16:56:00+00,2020,3,8,12,Sunday,35.845353462,-78.680117619,RPD,2020/03/08 20:02:30.033+00
-78.623067119,35.8748523190001,572010,f73e5a2b-04f1-46db-8f6b-d9d12483bcd0,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013135,ALL OTHER OFFENSES,80D,All Other/Trespassing,,6600 BLOCK FALLS OF NEUSE RD,RALEIGH,RALEIGH,North,2020/03/08 17:41:00+00,2020,3,8,13,Sunday,35.8748523190001,-78.623067119,RPD,2020/03/08 21:31:23.900+00
-78.5871218309999,35.845684781,572012,3a1fefb7-66c4-4f9d-89e5-9c97c8d6645a,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013140,VANDALISM,80B,All Other/Damage to Property (minor),,3000 BLOCK CALVARY DR,RALEIGH,RALEIGH,North,2020/03/08 18:02:00+00,2020,3,8,14,Sunday,35.845684781,-78.5871218309999,RPD,2020/03/08 21:21:19.020+00
-78.693829017,35.8174023660001,572013,825ec053-8226-430e-9e7c-2b63822aa8bb,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013145,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,2400 BLOCK WYCLIFF RD,RALEIGH,RALEIGH,Northwest,2020/03/08 17:36:00+00,2020,3,8,13,Sunday,35.8174023660001,-78.693829017,RPD,2020/03/08 21:21:15.220+00
-78.584447158,35.7720083740001,572018,5d0f84b2-036b-4eba-a000-69a48b312aba,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013157,UNAUTHORIZED MOTOR VEHICLE USE,80E,All Other/Unauthorized Use of Vehicle,,3200 BLOCK POOLE RD,RALEIGH,RALEIGH,Southeast,2020/03/08 20:02:00+00,2020,3,8,16,Sunday,35.7720083740001,-78.584447158,RPD,2020/03/08 22:51:08.727+00
-78.698363425,35.869290815,572019,b673b06b-0861-40c2-aa7f-ee96bb6cae73,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013159,HUMANE,82J,Humane/Chemical Deployment,,200 BLOCK OAK HOLLOW CT,RALEIGH,RALEIGH,Northwest,2020/03/08 19:43:00+00,2020,3,8,15,Sunday,35.8692908150001,-78.698363425,RPD,2020/03/09 00:30:00.070+00
-78.655287109,35.742688496,572020,46f2ff8d-296b-4e8a-9377-8cdf803b440e,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013161,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,900 BLOCK ILEAGNES RD,RALEIGH,RALEIGH,Southwest,2020/03/08 20:08:00+00,2020,3,8,16,Sunday,35.742688496,-78.655287109,RPD,2020/03/08 21:55:35.203+00
-78.6663337959999,35.8576995830001,572021,aeb73d24-e892-4bdd-9f7c-d5c3494bf280,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013163,LARCENY FROM MV,35F,Larceny/Theft from Motor Vehicle,CRIMES AGAINST PROPERTY,1400 BLOCK W MILLBROOK RD,RALEIGH,RALEIGH,North,2020/03/08 20:38:00+00,2020,3,8,16,Sunday,35.8576995830001,-78.6663337959999,RPD,2020/03/08 21:44:53.177+00
-78.631490199,35.763277177,572022,6e5efdb9-3051-49e5-89fd-05079dd0afe1,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013166,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,1400 BLOCK GARNER RD,RALEIGH,RALEIGH,Downtown,2020/03/08 20:54:00+00,2020,3,8,16,Sunday,35.7632771770001,-78.631490199,RPD,2020/03/08 23:21:59.937+00
-78.728285568,35.908004496,572023,76c02c60-b21c-48cd-8089-7c48e1be2195,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013169,LARCENY,35C,Larceny/Shoplifting,CRIMES AGAINST PROPERTY,13300 BLOCK STRICKLAND RD,WAKE COUNTY,RALEIGH,Northwest,2020/03/08 21:15:00+00,2020,3,8,17,Sunday,35.908004496,-78.728285568,RPD,2020/03/08 23:49:54.767+00
-78.6663337959999,35.8576995830001,572024,e371f657-2d99-40d8-bb86-12edd82ac00a,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013171,LARCENY FROM MV,35F,Larceny/Theft from Motor Vehicle,CRIMES AGAINST PROPERTY,1400 BLOCK W MILLBROOK RD,RALEIGH,RALEIGH,North,2020/03/08 21:44:00+00,2020,3,8,17,Sunday,35.8576995830001,-78.6663337959999,RPD,2020/03/08 22:43:15.843+00
-78.6134970539999,35.7781484180001,572026,905b9b05-08d0-49fb-80df-aa14adc3b705,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013178,ASSAULT,25G,Assault/Aggravated,CRIMES AGAINST PERSONS,200 BLOCK LIGHTNER LN,RALEIGH,RALEIGH,Southeast,2020/03/08 22:31:00+00,2020,3,8,18,Sunday,35.7781484180001,-78.6134970539999,RPD,2020/03/09 03:39:39.383+00
-78.554469207,35.8376163720001,572027,b2a18ab3-250e-44e9-a6d2-007ddc36e662,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013180,HUMANE,82E,Humane/Animal Bite,,4300 BLOCK KINDLE WOOD ST,RALEIGH,RALEIGH,Northeast,2020/03/08 22:31:00+00,2020,3,8,18,Sunday,35.8376163720001,-78.554469207,RPD,2020/03/09 00:35:36.743+00
-78.6663337959999,35.8576995830001,572028,3fcc7ab3-3334-435d-ac47-5ad79513b925,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013184,VANDALISM,80B,All Other/Damage to Property (minor),,1400 BLOCK W MILLBROOK RD,RALEIGH,RALEIGH,North,2020/03/08 22:33:00+00,2020,3,8,18,Sunday,35.8576995830001,-78.6663337959999,RPD,2020/03/09 00:26:47.980+00
-78.6426698879999,35.8403560130001,572029,cc420fab-afcd-4b9e-a7a0-707a8fa58e17,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013189,FRAUD,56B,Fraud/Credit Card-ATM Fraud,CRIMES AGAINST PROPERTY,4400 BLOCK SIX FORKS RD,RALEIGH,RALEIGH,North,2020/03/08 23:10:00+00,2020,3,8,19,Sunday,35.8403560130001,-78.6426698879999,RPD,2020/03/09 03:47:17.969+00
-78.6986450759999,35.895690334,572030,91820bc4-0447-42b8-9075-ae96b1616dcf,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013190,ASSAULT,25E,Assault/Simple,CRIMES AGAINST PERSONS,8400 BLOCK WHEATSTONE LN,RALEIGH,RALEIGH,Northwest,2020/03/08 23:26:00+00,2020,3,8,19,Sunday,35.8956903340001,-78.6986450759999,RPD,2020/03/09 02:36:07.077+00
-78.6395784589999,35.761992939,572032,64f322ca-2877-4d01-9e2a-91456541eec7,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013192,LARCENY,35H,Larceny/All Other,CRIMES AGAINST PROPERTY,1400 BLOCK S WILMINGTON ST,RALEIGH,RALEIGH,Downtown,2020/03/08 23:55:00+00,2020,3,8,19,Sunday,35.761992939,-78.6395784589999,RPD,2020/03/09 02:41:20.513+00
-78.6390516769999,35.767091851,572035,49a9c56e-1b0f-452f-bd30-17cbffed8fe1,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013203,DRUG VIOLATIONS,54Z,Drug Equipment/Paraphernalia,CRIMES AGAINST SOCIETY,1100 BLOCK S WILMINGTON ST,RALEIGH,RALEIGH,Downtown,2020/03/09 01:42:00+00,2020,3,8,21,Sunday,35.767091851,-78.6390516769999,RPD,2020/03/09 03:17:12.947+00
-78.626473555,35.8705270790001,572038,a826f32b-3a6d-4a97-a0d9-375844ad147e,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013208,LARCENY FROM MV,35F,Larceny/Theft from Motor Vehicle,CRIMES AGAINST PROPERTY,7000 BLOCK SANDY FORKS RD,RALEIGH,RALEIGH,North,2020/03/09 01:52:00+00,2020,3,8,21,Sunday,35.8705270790001,-78.626473555,RPD,2020/03/09 03:38:53.533+00
-78.6471915389999,35.787763358,572039,aff8181b-366b-4d16-891d-5a317c189c28,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013211,LARCENY,35A,Larceny/Pocket-Picking,CRIMES AGAINST PROPERTY,600 BLOCK GLENWOOD AVE,RALEIGH,RALEIGH,Downtown,2020/03/09 02:10:00+00,2020,3,8,22,Sunday,35.7877633580001,-78.6471915389999,RPD,2020/03/09 03:18:36.707+00
-78.723898816,35.785469537,572040,c2e6f0d2-5216-4b77-b44c-07841a671be4,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013213,BURGLARY/RESIDENTIAL,30B,Burglary/Residential,CRIMES AGAINST PROPERTY,5600 BLOCK WESTERN BLVD,RALEIGH,RALEIGH,Southwest,2020/03/09 01:46:00+00,2020,3,8,21,Sunday,35.785469537,-78.723898816,RPD,2020/03/09 03:46:17.317+00
-78.560913061,35.75137419,572041,6dcf2e43-7712-4f06-8e75-6b6a43a59f2e,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013217,BURGLARY/RESIDENTIAL,30B,Burglary/Residential,CRIMES AGAINST PROPERTY,2300 BLOCK MAYBROOK DR,RALEIGH,RALEIGH,Southeast,2020/03/09 02:40:00+00,2020,3,8,22,Sunday,35.75137419,-78.560913061,RPD,2020/03/09 03:37:58.500+00
,,572044,3d615d0f-70cd-4b3f-a8b2-c53972028b8a,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,,MISCELLANEOUS,81A,Miscellaneous/All Other Non-Offenses,,,,RALEIGH,Northeast,2020/03/08 05:33:00+00,2020,3,8,0,Sunday,0,0,RPD,2020/03/08 07:49:58.203+00
,,572045,48d55c78-e14d-4cea-8880-d85f585cca15,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,,MISCELLANEOUS,81A,Miscellaneous/All Other Non-Offenses,,,,RALEIGH,Northeast,2020/03/08 13:45:00+00,2020,3,8,9,Sunday,0,0,RPD,2020/03/08 15:04:38.107+00
,,572056,69e30197-6544-4a40-ac24-080b18f7082f,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,,MISCELLANEOUS,81A,Miscellaneous/All Other Non-Offenses,,,,RALEIGH,Southeast,2020/03/08 17:24:00+00,2020,3,8,13,Sunday,0,0,RPD,2020/03/08 20:48:39.040+00
,,572060,02832c9d-e553-4c1e-8f5b-68fd117dab29,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,,MISCELLANEOUS,81A,Miscellaneous/All Other Non-Offenses,,,,RALEIGH,Southwest,2020/03/08 18:09:00+00,2020,3,8,14,Sunday,0,0,RPD,2020/03/08 20:14:20.957+00
,,572063,9ad64752-287c-4104-829c-0c343cfe0043,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,,MISCELLANEOUS,81B,Miscellaneous/Deceased Person,,,,RALEIGH,Downtown,2020/03/08 11:42:00+00,2020,3,8,7,Sunday,0,0,RPD,2020/03/08 21:40:44.367+00
,,572064,1f232793-3605-4b45-a7b7-696d8f5d1e3d,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,,MISCELLANEOUS,81C,Miscellaneous/Found Property,,,,RALEIGH,Downtown,2020/03/08 06:43:00+00,2020,3,8,1,Sunday,0,0,RPD,2020/03/08 22:41:10.247+00
,,572065,21a60de7-cae3-4ed7-8209-a8f01d7b6ee2,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,,MISCELLANEOUS,81C,Miscellaneous/Found Property,,,,RALEIGH,Downtown,2020/03/08 07:33:00+00,2020,3,8,3,Sunday,0,0,RPD,2020/03/08 22:41:15.603+00
,,572066,5784209e-97b6-4bc5-b795-dcd25fe37c14,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,,MISCELLANEOUS,81C,Miscellaneous/Found Property,,,,RALEIGH,Downtown,2020/03/08 19:21:00+00,2020,3,8,15,Sunday,0,0,RPD,2020/03/08 20:58:30.683+00
,,572067,1032211e-390d-4241-8275-80a1fb325df6,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,,MISCELLANEOUS,81C,Miscellaneous/Found Property,,,,RALEIGH,North,2020/03/08 19:10:00+00,2020,3,8,15,Sunday,0,0,RPD,2020/03/08 20:24:07.053+00
,,572068,55b0cf9d-f4aa-4a6d-9f19-885aed280fa8,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,,MISCELLANEOUS,81E,Miscellaneous/Lost Property,,,,RALEIGH,Northeast,2020/03/08 05:29:00+00,2020,3,8,0,Sunday,0,0,RPD,2020/03/08 07:49:27.390+00
,,572069,a0eabdf9-a3f2-429d-918f-0e601a02ffd7,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,,MISCELLANEOUS,81F,Miscellaneous/Mental Commitment,,,,RALEIGH,Downtown,2020/03/08 14:24:00+00,2020,3,8,10,Sunday,0,0,RPD,2020/03/08 22:14:09.613+00
,,572072,68e519b9-7ccf-4061-9a76-9b4142d9ebf1,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,,MISCELLANEOUS,81F,Miscellaneous/Mental Commitment,,,,RALEIGH,North,2020/03/08 13:06:00+00,2020,3,8,9,Sunday,0,0,RPD,2020/03/08 15:24:16.843+00
,,572073,54d3df97-644c-42ff-8762-407ce33ae523,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,,MISCELLANEOUS,81F,Miscellaneous/Mental Commitment,,,,RALEIGH,Northwest,2020/03/08 12:53:00+00,2020,3,8,8,Sunday,0,0,RPD,2020/03/08 16:32:29.377+00
,,572074,f3c7fa71-a344-4898-874a-31655dd262fe,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,,MISCELLANEOUS,81F,Miscellaneous/Mental Commitment,,,,RALEIGH,Southeast,2020/03/08 14:31:00+00,2020,3,8,10,Sunday,0,0,RPD,2020/03/08 20:46:35.567+00
,,572077,832b10df-d10f-4a0e-8565-7e4b04db3601,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,,MISCELLANEOUS,81G,Miscellaneous/Missing Person (17 & under),,,,RALEIGH,Northwest,2020/03/08 05:28:00+00,2020,3,8,0,Sunday,0,0,RPD,2020/03/09 03:06:11.253+00
,,572078,5c8be6d6-91f7-4d69-b0ce-0cf2da1c64a4,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,,MISCELLANEOUS,81H,Miscellaneous/Missing Person (18 & over),,,,RALEIGH,Southeast,2020/03/08 13:26:00+00,2020,3,8,9,Sunday,0,0,RPD,2020/03/08 20:20:30.543+00
,,572081,845537c2-e145-4d4e-867c-52e78654358a,2020/03/09 04:00:15.809+00,RaleighGIS,2020/03/09 04:00:15.809+00,RaleighGIS,P20013138,VANDALISM,53A,Damage to Property (Group A),CRIMES AGAINST PROPERTY,,WAKE COUNTY,RALEIGH,Southeast,2020/03/08 18:24:00+00,2020,3,8,14,Sunday,0,0,RPD,2020/03/08 20:42:03.807+00
-78.7124572609999,35.856626614,572213,3e9307ee-6011-4ae1-8906-719947e5a722,2020/03/12 04:00:34.510+00,RaleighGIS,2020/03/12 04:00:34.510+00,RaleighGIS,P20013596,ASSAULT,25E,Assault/Simple,CRIMES AGAINST PERSONS,4500 BLOCK DELTA LAKE DR,RALEIGH,RALEIGH,Northwest,2020/03/11 07:25:00+00,2020,3,11,3,Wednesday,35.856626614,-78.7124572609999,RPD,2020/03/11 18:33:12.529+00
-78.630347472,35.765710109,572215,a9a4de01-37f0-44de-8346-16a57fae39f0,2020/03/12 04:00:34.510+00,RaleighGIS,2020/03/12 04:00:34.510+00,RaleighGIS,P20013599,VANDALISM,80B,All Other/Damage to Property (minor),,500 BLOCK BRAGG ST,RALEIGH,RALEIGH,Southeast,2020/03/11 09:34:00+00,2020,3,11,5,Wednesday,35.7657101090001,-78.630347472,RPD,2020/03/11 20:48:11.553+00
-78.538661017,35.783898379,572227,108cdc8d-89e3-474d-9e7e-47fa510e3644,2020/03/12 04:00:34.510+00,RaleighGIS,2020/03/12 04:00:34.510+00,RaleighGIS,P20013618,BURGLARY/RESIDENTIAL,30B,Burglary/Residential,CRIMES AGAINST PROPERTY,5800 BLOCK WATERFORD LANDING CT,RALEIGH,RALEIGH,Southeast,2020/03/11 12:23:00+00,2020,3,11,8,Wednesday,35.7838983790001,-78.538661017,RPD,2020/03/11 19:59:17.753+00
-78.538661017,35.783898379,572228,b75a40a4-e56c-411c-9c2b-aa7cb866880d,2020/03/12 04:00:34.510+00,RaleighGIS,2020/03/12 04:00:34.510+00,RaleighGIS,P20013618,VANDALISM,80B,All Other/Damage to Property (minor),,5800 BLOCK WATERFORD LANDING CT,RALEIGH,RALEIGH,Southeast,2020/03/11 12:23:00+00,2020,3,11,8,Wednesday,35.7838983790001,-78.538661017,RPD,2020/03/11 19:59:17.753+00
-78.613811423,35.8437552290001,572231,2a3bf431-9163-43e2-b850-6714cd177e19,2020/03/12 04:00:34.510+00,RaleighGIS,2020/03/12 04:00:34.510+00,RaleighGIS,P20013630,LARCENY FROM MV,35F,Larceny/Theft from Motor Vehicle,CRIMES AGAINST PROPERTY,4500 BLOCK FALLS OF NEUSE RD,RALEIGH,RALEIGH,North,2020/03/11 13:40:00+00,2020,3,11,9,Wednesday,35.8437552290001,-78.613811423,RPD,2020/03/11 18:54:23.560+00
-78.61134495,35.8002034620001,572232,09e90b56-4363-4be5-9c33-9857ffbd02b3,2020/03/12 04:00:34.510+00,RaleighGIS,2020/03/12 04:00:34.510+00,RaleighGIS,P20013631,WEAPONS VIOLATION,51C,Weapons/Shots Fired,CRIMES AGAINST SOCIETY,700 BLOCK DENNIS AVE,RALEIGH,RALEIGH,Southeast,2020/03/11 13:51:00+00,2020,3,11,9,Wednesday,35.8002034620001,-78.61134495,RPD,2020/03/11 18:47:08.863+00
